HistoricalCode,BfsCode,Name,CantonId,Canton,DistrictId,District,FUA2014,DEGURB2021,FUA2021,GCITIES2021,STREG2022,DEGURB2011,GCITIES2011,REGCH,AGKG2020,STADTE2020,STGD2020,RSC2020,SPRGEB2020,AGKSA2020,AGGL2020,AGGLGK2020,MONT2019,STALAN2020,GDETYP2020_9,GDETYP2020_25,GBAE2018,BAE2018
11678,1203,Attinghausen,4,Uri,10061,Kanton Uri,0,2,0,0,4,2,0,6,1201801,0,0,2,1,1201910,1201,5,1,1,13,137,11,11070
11681,4091,Auenstein,19,Aargau,10023,Bezirk Brugg,0,2,4001960,0,14,2,0,3,0,0,0,5,1,0,0,0,0,2,22,226,10,10020
11683,51,Bachenbülach,1,Zürich,10081,Bezirk Bülach,261960,2,261960,0,3,2,0,4,261801,0,0,3,1,261910,261,1,0,1,11,113,12,12032
11685,52,Bassersdorf,1,Zürich,10081,Bezirk Bülach,261960,1,261960,261950,3,2,0,4,261801,1,52,2,1,261910,261,1,0,1,11,113,12,12032
11688,2931,Bargen (SH),14,Schaffhausen,10089,Bezirk Schaffhausen,0,3,0,0,2,3,0,5,2939810,0,0,4,1,2939910,2939,4,0,3,23,237,12,12020
11690,2611,Bärschwil,11,Solothurn,10094,Bezirk Thierstein,2701960,3,2701960,0,14,3,0,2,2701810,0,0,4,1,2701910,2701,1,1,3,23,235,8,8011
11692,6605,Bardonnex,25,Genève,10187,Canton de Genève,6621960,2,6621960,0,10,2,0,1,6621810,0,0,4,2,6621910,6621,1,0,2,22,226,1,1011
11693,2701,Basel,12,Basel-Stadt,10093,Kanton Basel-Stadt,2701960,1,2701960,2701950,5,1,2701950,3,2701801,1,2701,1,1,2701901,2701,1,0,1,11,111,8,8013
11696,2471,Bättwil,11,Solothurn,10099,Bezirk Dorneck,2701960,2,2701960,0,14,2,0,2,2701810,0,0,4,1,2701910,2701,1,0,2,22,226,8,8012
11702,2541,Balm bei Günsberg,11,Solothurn,10097,Bezirk Lebern,0,3,0,0,14,3,0,2,2601810,0,0,4,1,2601910,2601,4,1,3,23,237,5,5060
11703,5144,Arogno,21,Ticino,10003,Distretto di Lugano,5192960,2,5192960,0,12,3,0,7,5192810,0,0,4,3,5192910,5192,3,1,3,23,237,14,14010
11704,81,Bachs,1,Zürich,10080,Bezirk Dielsdorf,261960,3,261960,0,3,3,0,4,261810,0,0,4,1,261910,261,1,0,3,23,237,12,12032
11707,5242,Balerna,21,Ticino,10002,Distretto di Mendrisio,0,1,5250960,5250950,12,2,0,7,5250801,0,0,2,3,5250910,5250,4,0,1,12,122,14,14020
11709,111,Bäretswil,1,Zürich,10079,Bezirk Hinwil,261960,2,261960,0,3,2,0,4,261810,0,0,4,1,261910,261,1,1,2,22,227,12,12037
11711,1701,Baar,9,Zug,10108,Kanton Zug,1711960,1,1711960,1711950,3,1,1711950,6,1711801,1,1701,2,1,1711910,1711,3,0,1,12,122,11,11060
11714,6281,Baltschieder,23,Valais / Wallis,10180,Bezirk Visp,0,2,0,0,11,2,0,1,6002801,0,0,2,1,6002910,6002,5,1,1,13,137,7,7080
11719,5061,Airolo,21,Ticino,10005,Distretto di Leventina,0,3,0,0,12,3,0,7,0,0,0,0,3,0,0,0,1,3,33,338,13,13010
11720,6101,Agarn,23,Valais / Wallis,10030,Bezirk Leuk,0,3,0,0,11,3,0,1,0,0,0,0,1,0,0,0,1,3,33,338,7,7060
11722,5141,Agno,21,Ticino,10003,Distretto di Lugano,5192960,2,5192960,0,12,2,0,7,5192801,0,0,2,3,5192910,5192,3,1,1,12,122,14,14010
11726,6601,Aire-la-Ville,25,Genève,10187,Canton de Genève,6621960,3,6621960,0,10,3,0,1,6621810,0,0,4,2,6621910,6621,1,0,2,22,226,1,1011
11730,6102,Albinen,23,Valais / Wallis,10030,Bezirk Leuk,0,3,0,0,11,3,0,1,0,0,0,0,1,0,0,0,1,3,33,338,7,7060
11738,4271,Aarburg,19,Aargau,10017,Bezirk Zofingen,0,2,0,0,14,2,0,3,2581801,0,0,2,1,2581910,2581,3,0,1,12,123,10,10020
11741,4221,Abtwil,19,Aargau,10019,Bezirk Muri,1711960,3,1711960,0,14,3,0,3,0,0,0,5,1,0,0,0,0,3,23,236,11,11060
11742,2,Affoltern am Albis,1,Zürich,10053,Bezirk Affoltern,261960,2,261960,0,3,2,0,4,261801,1,2,3,1,261910,261,1,0,1,11,112,12,12031
11745,131,Adliswil,1,Zürich,10078,Bezirk Horgen,261960,1,261960,261950,3,1,261950,4,261801,1,131,2,1,261910,261,1,0,1,11,113,12,12034
11753,1401,Alpnach,6,Obwalden,10070,Kanton Obwalden,1061960,2,1061960,0,4,2,0,6,0,0,0,0,1,0,0,0,1,3,32,326,11,11030
11757,5143,Aranno,21,Ticino,10003,Distretto di Lugano,5192960,3,5192960,0,12,3,0,7,5192810,0,0,4,3,5192910,5192,3,1,3,23,235,14,14010
11758,6261,Arbaz,23,Valais / Wallis,10179,District de Sion,0,2,0,0,11,2,0,1,6266810,0,0,4,2,6266910,6266,4,1,2,22,227,7,7030
11763,6021,Ardon,23,Valais / Wallis,10034,District de Conthey,0,2,0,0,11,2,0,1,6266801,0,0,2,2,6266910,6266,4,1,1,12,123,7,7030
11764,4222,Aristau,19,Aargau,10019,Bezirk Muri,261960,2,261960,0,14,2,0,3,261810,0,0,4,1,261910,261,1,0,3,23,237,11,11060
11768,5001,Arbedo-Castione,21,Ticino,10007,Distretto di Bellinzona,0,2,0,0,12,2,0,7,5002801,0,0,2,3,5002910,5002,4,1,1,12,122,13,13040
11773,1201,Altdorf (UR),4,Uri,10061,Kanton Uri,0,2,0,0,4,2,0,6,1201801,1,1201,1,1,1201901,1201,5,1,1,13,137,11,11070
11774,1341,Altendorf,5,Schwyz,10096,Bezirk March,261960,2,261960,0,3,2,0,6,1344801,0,0,2,1,1344910,1344,5,1,1,13,137,12,12050
11776,6602,Anières,25,Genève,10187,Canton de Genève,6621960,2,6621960,0,10,2,0,1,6621801,0,0,3,2,6621910,6621,1,0,1,11,113,1,1015
11777,211,Altikon,1,Zürich,10074,Bezirk Winterthur,261960,3,261960,0,3,3,0,4,0,0,0,5,1,0,0,0,0,3,23,235,12,12040
